,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Cedric Paquette,MON,C,10,0,0,0,-1,23,8,0,0,0,0,0,23,3
Brett Kulak,MON,D,20,0,5,5,-5,4,20,0,0,0,0,0,18,12
Jordan Oesterle,DET,D,5,0,1,1,-1,0,6,0,0,0,0,0,4,2
Esa Lindell,DAL,D,17,0,5,5,2,2,39,0,0,1,0,1,31,38
Patrick Brown,PHI,C,6,0,1,1,-2,0,7,0,0,0,0,0,2,3
John Hayden,BUF,C,14,0,1,1,-3,9,12,0,0,0,0,0,28,9
Dillon Heatherington,OTT,D,3,0,0,0,0,0,3,0,0,0,0,0,5,1
Frederik Gauthier,NJ,C,8,0,0,0,-1,0,4,0,0,0,0,0,16,3
Justin Bailey,VAN,RW,10,0,0,0,-4,6,10,0,0,0,0,0,9,3
Madison Bowey,VAN,D,2,0,0,0,-3,0,0,0,0,0,0,0,4,2
Scott Sabourin,OTT,RW,3,0,0,0,-1,2,3,0,0,0,0,0,8,1
Matt Grzelcyk,BOS,D,15,0,2,2,-5,4,35,0,0,0,0,0,9,23
Brad Hunt,VAN,D,4,0,1,1,-5,0,9,0,0,0,0,0,4,0
Ryan Carpenter,CHI,C,16,0,2,2,-5,4,19,0,0,1,0,0,51,6
Will Butcher,BUF,D,15,0,2,2,-9,0,14,0,0,1,0,0,7,11
Hudson Fasching,ARI,RW,4,0,0,0,0,0,1,0,0,0,0,0,6,0
Jaccob Slavin,CAR,D,17,0,9,9,10,4,33,0,0,0,0,0,16,24
Matt Benning,NSH,D,15,0,2,2,-3,8,12,0,0,0,0,0,20,18
Nick Seeler,PHI,D,15,0,0,0,-5,11,9,0,0,0,0,0,25,21
Caleb Jones,CHI,D,3,0,0,0,-2,0,1,0,0,0,0,0,2,2
Philippe Myers,NSH,D,8,0,0,0,2,2,11,0,0,0,0,0,12,5
Kevin Stenlund,CLS,C,3,0,0,0,0,2,3,0,0,0,0,0,2,2
Tyler Motte,VAN,C,4,0,1,1,-2,4,5,0,0,0,0,0,11,3
Troy Stecher,DET,D,6,0,1,1,1,2,5,0,0,0,0,0,8,7
Markus Nutivaara,FLA,D,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Michael McLeod,NJ,C,16,0,2,2,-3,9,18,0,0,0,0,0,23,7
Max Jones,ANH,LW,2,0,0,0,-1,15,2,0,0,0,0,0,2,0
Lucas Carlsson,FLA,D,3,0,1,1,0,2,3,0,0,0,0,0,3,2
Jonas Siegenthaler,NJ,D,16,0,4,4,1,13,14,0,0,0,0,0,20,27
Nicolas Meloche,SJ,D,6,0,1,1,-3,0,7,0,0,0,0,0,15,9
Travis Dermott,TOR,D,15,0,1,1,-2,2,12,0,0,0,0,0,17,10
Erik Gustafsson,CHI,D,18,0,5,5,-1,0,19,0,0,1,0,0,15,17
Glenn Gawdin,CGY,C,2,0,0,0,0,2,3,0,0,0,0,0,1,1
Thomas Novak,NSH,C,15,0,5,5,0,2,14,0,0,3,0,0,2,2
Rasmus Andersson,CGY,D,20,0,11,11,16,10,29,0,0,5,0,0,7,29
Mitchell Stephens,DET,C,16,0,4,4,-5,4,13,0,0,0,0,0,9,8
Jeremy Lauzon,SEA,D,17,0,3,3,-3,34,16,0,0,0,0,0,48,10
Sami Niku,MON,D,5,0,2,2,3,2,4,0,0,1,0,0,3,4
Austin Strand,LA,D,2,0,0,0,-1,0,0,0,0,0,0,0,1,1
Anton Blidh,BOS,LW,6,0,2,2,1,0,4,0,0,0,0,0,15,5
Dean Kukan,CLS,D,2,0,0,0,2,0,3,0,0,0,0,0,3,1
Joonas Donskoi,SEA,RW,18,0,7,7,1,0,25,0,0,1,0,0,12,7
Erik Cernak,TB,D,12,0,3,3,1,8,29,0,0,0,0,0,36,17
Dante Fabbro,NSH,D,18,0,4,4,4,8,23,0,0,0,0,0,7,21
Riley Tufte,DAL,LW,2,0,0,0,0,0,0,0,0,0,0,0,2,1
Logan Stanley,WPG,D,18,0,5,5,2,16,17,0,0,0,0,1,44,20
Kieffer Bellows,NYI,LW,5,0,1,1,2,2,3,0,0,0,0,0,15,2
Boris Katchouk,TB,LW,10,0,2,2,2,10,10,0,0,0,0,0,30,1
Dennis Cholowski,WAS,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,2
Kale Clague,LA,D,11,0,5,5,-2,2,6,0,0,3,0,0,0,9
Taylor Raddysh,TB,RW,17,0,1,1,-1,4,15,0,0,0,0,0,17,4
Tyler Benson,EDM,LW,7,0,0,0,-2,4,3,0,0,0,0,0,10,0
Victor Mete,OTT,D,10,0,4,4,-7,0,8,0,0,0,0,0,2,10
Trent Frederic,BOS,C,10,0,1,1,-2,5,14,0,0,0,0,0,23,0
Cam Dineen,ARI,D,8,0,1,1,-5,0,7,0,0,0,0,0,3,10
Brett Murray,BUF,LW,1,0,0,0,-1,2,0,0,0,0,0,0,1,0
Andrew Peeke,CLS,D,16,0,4,4,0,13,9,0,0,0,0,0,27,28
Noah Gregor,SJ,C,2,0,0,0,-1,4,7,0,0,0,0,0,3,3
Zach Aston-Reese,PIT,C,16,0,5,5,3,11,18,0,0,0,0,0,58,8
Gavin Bayreuther,CLS,D,8,0,3,3,-4,6,7,0,0,0,0,0,12,13
Matthew Highmore,VAN,C,8,0,2,2,-1,2,10,0,0,0,0,0,8,9
Lane Pederson,SJ,C,11,0,0,0,-7,6,6,0,0,0,0,0,21,6
Oskar Lindblom,PHI,LW,16,0,1,1,-6,4,22,0,0,0,0,0,21,9
Colton White,NJ,D,4,0,1,1,4,2,2,0,0,0,0,0,3,0
Axel Jonsson-Fjallby,WAS,LW,8,0,1,1,1,2,9,0,0,0,0,0,6,3
Chase Priskie,FLA,D,1,0,0,0,-1,2,1,0,0,0,0,0,0,1
Dylan Gambrell,OTT,C,5,0,0,0,0,2,2,0,0,0,0,0,9,1
Casey Mittelstadt,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Liljegren,TOR,D,12,0,1,1,0,4,16,0,0,0,0,0,14,15
Cody Glass,NSH,C,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Adam Brooks,VGK,C,5,0,1,1,-1,0,1,0,0,0,0,0,7,0
Matt Roy,LA,D,18,0,4,4,0,8,48,0,0,2,0,0,24,28
Calle Rosen,STL,D,5,0,2,2,-1,0,5,0,0,0,0,0,0,4
Stefan Matteau,COL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olli Maatta,LA,D,13,0,2,2,-3,0,9,0,0,0,0,0,10,21
Slater Koekkoek,EDM,D,11,0,1,1,-2,10,4,0,0,0,0,0,12,11
Adam Pelech,NYI,D,13,0,2,2,4,2,10,0,0,0,0,0,23,27
Leo Komarov,FA,LW,1,0,0,0,0,2,0,0,0,0,0,0,3,0
Alex Galchenyuk,ARI,RW,6,0,2,2,-1,2,11,0,0,1,0,0,1,4
Ryan Murray,COL,D,14,0,3,3,-3,2,7,0,0,0,0,1,13,22
Radko Gudas,FLA,D,17,0,5,5,8,24,32,0,0,0,0,0,82,31
Jani Hakanpaa,DAL,D,16,0,2,2,3,27,13,0,0,0,0,0,36,18
Danny DeKeyser,DET,D,19,0,2,2,-5,8,28,0,0,0,0,0,15,40
Chad Ruhwedel,PIT,D,14,0,1,1,1,0,19,0,0,0,0,0,26,15
John Klingberg,DAL,D,13,0,6,6,-6,4,22,0,0,2,0,0,14,17
Jayson Megna,COL,LW,13,0,1,1,-3,2,16,0,0,0,0,0,21,6
Darnell Nurse,EDM,D,16,0,11,11,4,14,53,0,0,5,0,0,66,20
Curtis Lazar,BOS,C,10,0,3,3,0,0,13,0,0,0,0,1,24,6
Ryan Pulock,NYI,D,12,0,2,2,-2,0,19,0,0,1,0,0,25,34
Michael McCarron,NSH,C,6,0,0,0,0,10,5,0,0,0,0,0,12,3
Rasmus Ristolainen,PHI,D,15,0,3,3,1,10,20,0,0,0,0,0,52,26
Jamie Oleksiak,SEA,D,18,0,5,5,-3,26,23,0,0,0,0,0,58,16
Nathan Beaulieu,WPG,D,9,0,1,1,0,5,7,0,0,0,0,0,3,7
Matt Nieto,SJ,LW,11,0,1,1,-2,0,11,0,0,0,0,0,15,6
Rocco Grimaldi,NSH,C,5,0,0,0,1,0,6,0,0,0,0,0,4,0
Dmitrij Jaskin,ARI,RW,12,0,1,1,-6,4,23,0,0,0,0,0,47,9
Jordie Benn,MIN,D,2,0,1,1,-1,0,4,0,0,0,0,0,4,4
Brenden Dillon,WPG,D,18,0,3,3,6,11,25,0,0,0,0,0,61,23
Andy Andreoff,NYI,C,2,0,0,0,0,0,0,0,0,0,0,0,6,0
Josh Leivo,CAR,LW,2,0,0,0,-2,0,2,0,0,0,0,0,1,0
Kyle Rau,MIN,C,3,0,0,0,-2,0,2,0,0,0,0,0,2,0
Brett Ritchie,CGY,RW,9,0,0,0,3,11,18,0,0,0,0,0,12,2
Scott Harrington,CLS,D,6,0,1,1,-4,4,4,0,0,0,0,0,6,8
Austin Watson,OTT,LW,3,0,0,0,-3,7,3,0,0,0,0,0,6,6
Mark Pysyk,BUF,D,18,0,4,4,4,6,23,0,0,0,0,0,14,29
Mark Stone,VGK,RW,7,0,6,6,2,4,11,0,0,0,0,0,5,6
Patrik Nemeth,NYR,D,18,0,0,0,-8,6,14,0,0,0,0,0,31,42
Justin Holl,TOR,D,14,0,0,0,-3,4,8,0,0,0,0,0,30,31
Johan Larsson,ARI,C,15,0,5,5,-5,9,11,0,0,0,0,0,29,10
Greg McKegg,NYR,C,8,0,0,0,-2,0,5,0,0,0,0,0,7,7
Ryan Reaves,NYR,RW,14,0,1,1,-4,11,7,0,0,0,0,0,65,3
Colton Sceviour,EDM,RW,9,0,1,1,-1,19,10,0,0,0,0,1,18,9
Derek Grant,ANH,C,16,0,4,4,-2,12,22,0,0,0,0,1,13,14
Mark Borowiecki,NSH,D,12,0,0,0,-2,39,10,0,0,0,0,0,24,12
Carl Hagelin,WAS,LW,19,0,2,2,3,14,25,0,0,0,0,0,15,4
Mattias Ekholm,NSH,D,18,0,3,3,-5,4,29,0,0,0,0,0,9,21
Sven Baertschi,VGK,LW,1,0,0,0,-1,0,1,0,0,0,0,0,0,0
Luke Schenn,VAN,D,5,0,2,2,1,10,4,0,0,0,0,0,21,3
Tyler Myers,VAN,D,19,0,6,6,1,13,27,0,0,0,0,0,38,32
Ian Cole,CAR,D,17,0,1,1,4,6,18,0,0,0,0,0,24,25
Riley Nash,WPG,C,14,0,0,0,-1,2,6,0,0,0,0,0,10,5
Keith Yandle,PHI,D,17,0,5,5,-9,2,31,0,0,2,0,0,11,11
Andrej Sekera,DAL,D,12,0,1,1,-2,8,8,0,0,0,0,0,10,8
Alexander Edler,LA,D,18,0,6,6,5,14,26,0,0,0,0,0,28,35
Kris Russell,EDM,D,7,0,1,1,2,2,8,0,0,0,0,0,5,18
Zdeno Chara,NYI,D,15,0,2,2,-3,27,16,0,0,0,0,0,33,15
Zach Parise,NYI,LW,15,0,3,3,-3,10,29,0,0,0,0,0,16,9
Blake Wheeler,WPG,RW,13,0,5,5,-2,8,28,0,0,1,0,0,16,4
Loui Eriksson,ARI,RW,17,0,1,1,-8,2,18,0,0,0,0,0,2,4
Marc Staal,DET,D,18,0,3,3,0,2,18,0,0,0,0,0,17,23
Marc-Edouard Vlasic,SJ,D,12,0,3,3,-4,4,8,0,0,0,0,0,9,11
Jonathan Toews,CHI,C,19,0,8,8,-9,10,34,0,0,2,0,0,6,5
Andy Greene,NYI,D,13,0,1,1,-3,0,6,0,0,0,0,0,6,26
Nick Foligno,BOS,LW,7,0,1,1,-4,4,11,0,0,0,0,0,25,5
Jeff Petry,MON,D,20,0,2,2,-4,4,30,0,0,0,0,0,38,23
Nick Holden,OTT,D,10,0,1,1,-6,2,7,0,0,0,0,0,15,15
Jay Beagle,ARI,C,19,0,0,0,-12,8,12,0,0,0,0,0,31,7
Richard Panik,NYI,RW,2,0,1,1,-2,0,4,0,0,1,0,0,7,0
Nick Leddy,DET,D,20,0,6,6,-8,8,19,0,0,1,0,0,11,15
John Moore,BOS,D,1,0,0,0,1,2,2,0,0,0,0,0,1,1
Calvin de Haan,CHI,D,18,0,0,0,-7,4,18,0,0,0,0,0,30,38
Travis Hamonic,VAN,D,7,0,1,1,-1,0,11,0,0,0,0,0,11,17
Marco Scandella,STL,D,18,0,4,4,0,6,28,0,0,0,0,1,29,28
T.J. Brodie,TOR,D,20,0,2,2,3,8,7,0,0,0,0,0,10,30
Greg Pateryn,ANH,D,2,0,0,0,1,4,3,0,0,0,0,0,3,3
Zac Dalpe,FLA,C,1,0,0,0,-1,0,0,0,0,0,0,0,2,1
Michael Stone,CGY,D,1,0,0,0,1,0,3,0,0,0,0,0,2,2
Kyle Clifford,TOR,LW,2,0,1,1,-1,0,5,0,0,0,0,0,2,0
Brian Dumoulin,PIT,D,13,0,2,2,-2,6,14,0,0,0,0,0,16,22
Casey Cizikas,NYI,C,14,0,1,1,-5,8,19,0,0,0,0,0,34,7
Matt Martin,NYI,LW,13,0,1,1,-2,22,12,0,0,0,0,0,53,5
Alec Martinez,VGK,D,11,0,3,3,3,4,11,0,0,0,0,0,9,33
Kevin Connauton,FLA,D,12,0,0,0,5,2,13,0,0,0,0,0,25,8
Nick Bonino,SJ,C,18,0,0,0,-5,12,27,0,0,0,0,0,7,21
David Savard,MON,D,20,0,4,4,-7,6,15,0,0,0,0,1,38,35
Erik Gudbranson,CGY,D,20,0,4,4,3,26,30,0,0,0,0,0,24,27
Tyler Pitlick,CGY,C,17,0,2,2,-1,0,17,0,0,0,0,0,34,12
Jarred Tinordi,NYR,D,5,0,0,0,-5,7,2,0,0,0,0,0,14,2
