,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nick Bonino,SJ,C,16,0,0,0,-4,12,24,0,0,0,0,0,7,20
David Savard,MON,D,19,0,3,3,-9,6,15,0,0,0,0,1,34,34
Erik Gudbranson,CGY,D,17,0,4,4,4,26,26,0,0,0,0,0,20,22
Tyler Pitlick,CGY,C,14,0,2,2,0,0,14,0,0,0,0,0,31,10
Jarred Tinordi,NYR,D,4,0,0,0,-3,7,1,0,0,0,0,0,13,1
Kevin Connauton,FLA,D,11,0,0,0,5,2,12,0,0,0,0,0,22,8
Casey Cizikas,NYI,C,12,0,1,1,-3,8,18,0,0,0,0,0,33,5
Matt Martin,NYI,LW,11,0,1,1,0,22,11,0,0,0,0,0,50,5
Alec Martinez,VGK,D,11,0,3,3,3,4,11,0,0,0,0,0,9,33
Brian Dumoulin,PIT,D,11,0,1,1,-4,4,9,0,0,0,0,0,13,19
Kyle Clifford,TOR,LW,2,0,1,1,-1,0,5,0,0,0,0,0,2,0
Nick Leddy,DET,D,19,0,6,6,-8,8,18,0,0,1,0,0,11,14
Zach Bogosian,TB,D,4,0,2,2,-1,2,3,0,0,0,0,0,10,1
Luke Schenn,VAN,D,5,0,2,2,1,10,4,0,0,0,0,0,21,3
Tyler Myers,VAN,D,18,0,6,6,2,13,26,0,0,0,0,0,36,29
Ian Cole,CAR,D,15,0,1,1,6,6,17,0,0,0,0,0,19,24
Riley Nash,WPG,C,13,0,0,0,-1,2,6,0,0,0,0,0,10,4
Keith Yandle,PHI,D,15,0,5,5,-5,2,29,0,0,2,0,0,9,10
Andrej Sekera,DAL,D,11,0,1,1,-2,8,8,0,0,0,0,0,10,8
Alexander Edler,LA,D,16,0,4,4,1,14,22,0,0,0,0,0,27,32
Kris Russell,EDM,D,5,0,1,1,1,2,5,0,0,0,0,0,3,8
Zdeno Chara,NYI,D,13,0,2,2,-3,25,13,0,0,0,0,0,29,11
Zach Parise,NYI,LW,13,0,3,3,-2,8,24,0,0,0,0,0,16,9
Blake Wheeler,WPG,RW,12,0,5,5,-2,8,26,0,0,1,0,0,15,4
Corey Perry,TB,RW,15,0,1,1,-5,11,27,0,0,0,0,0,21,10
Loui Eriksson,ARI,RW,15,0,1,1,-7,0,17,0,0,0,0,0,2,4
Jonathan Toews,CHI,C,16,0,8,8,-5,6,30,0,0,2,0,0,6,4
Andy Greene,NYI,D,13,0,1,1,-3,0,6,0,0,0,0,0,6,26
Marc Staal,DET,D,18,0,3,3,0,2,18,0,0,0,0,0,17,23
Marc-Edouard Vlasic,SJ,D,10,0,3,3,-4,0,7,0,0,0,0,0,7,8
Trevor Lewis,CGY,C,17,0,2,2,-1,2,24,0,0,0,0,0,41,8
Nick Foligno,BOS,LW,5,0,1,1,-2,2,7,0,0,0,0,0,19,4
Jeff Petry,MON,D,19,0,2,2,-7,4,25,0,0,0,0,0,37,23
Sammy Blais,NYR,LW,14,0,4,4,3,17,17,0,0,0,0,0,37,8
Jacob Middleton,SJ,D,10,0,2,2,5,24,12,0,0,0,0,0,12,11
MacKenzie Weegar,FLA,D,17,0,8,8,14,8,33,0,0,0,0,0,51,33
Trevor van Riemsdyk,WAS,D,17,0,6,6,6,4,22,0,0,0,0,1,7,27
Kurtis MacDermid,COL,D,5,0,0,0,-3,0,4,0,0,0,0,0,6,4
Pierre-Edouard Bellemare,TB,C,15,0,2,2,0,2,13,0,0,0,0,0,25,10
Ross Johnston,NYI,LW,1,0,0,0,-1,0,0,0,0,0,0,0,4,0
Oskar Sundqvist,STL,C,2,0,1,1,1,0,3,0,0,0,0,0,3,1
Max McCormick,SEA,LW,5,0,0,0,0,4,6,0,0,0,0,0,6,3
Juho Lammikko,VAN,RW,18,0,1,1,-5,2,13,0,0,0,0,0,19,12
Jake Walman,STL,D,14,0,2,2,2,2,17,0,0,0,0,0,9,12
Mark Friedman,PIT,D,11,0,4,4,3,6,11,0,0,0,0,0,19,13
Michael Amadio,VGK,C,10,0,0,0,-1,0,8,0,0,0,0,0,8,4
Joel Hanley,DAL,D,5,0,0,0,-3,0,2,0,0,0,0,0,5,5
Ben Harpur,NSH,D,4,0,0,0,-6,4,3,0,0,0,0,0,9,8
Andrew Agozzino,OTT,LW,1,0,0,0,0,0,1,0,0,0,0,0,4,0
Gustav Forsling,FLA,D,17,0,10,10,5,10,38,0,0,0,0,0,11,21
Ben Hutton,VGK,D,3,0,1,1,0,10,2,0,0,0,0,0,5,3
Noah Hanifin,CGY,D,16,0,3,3,7,0,30,0,0,1,0,0,9,17
Mason Geertsen,NJ,D,5,0,0,0,-1,19,1,0,0,0,0,0,15,1
Tanner Kero,DAL,LW,7,0,2,2,0,0,3,0,0,0,0,0,3,3
Josh Brown,OTT,D,12,0,0,0,-4,7,11,0,0,0,0,0,37,17
Fredrik Claesson,TB,D,2,0,0,0,-1,0,2,0,0,0,0,0,2,3
Jaycob Megna,SJ,D,6,0,0,0,3,4,5,0,0,0,0,0,7,5
Jakub Zboril,BOS,D,3,0,1,1,0,0,4,0,0,0,0,0,7,4
Thomas Chabot,OTT,D,15,0,6,6,3,6,43,0,0,3,0,0,18,27
Jordan Greenway,MIN,LW,12,0,3,3,5,13,11,0,0,0,0,0,22,6
Cedric Paquette,MON,C,10,0,0,0,-1,23,8,0,0,0,0,0,23,3
Patrick Brown,PHI,C,6,0,1,1,-2,0,7,0,0,0,0,0,2,3
Ryan Carpenter,CHI,C,13,0,1,1,-6,4,16,0,0,1,0,0,45,6
Brett Kulak,MON,D,19,0,5,5,-4,4,19,0,0,0,0,0,15,12
Jordan Oesterle,DET,D,4,0,1,1,-1,0,3,0,0,0,0,0,3,2
Nick Ritchie,TOR,LW,18,0,2,2,-4,13,29,0,0,2,0,0,39,8
Esa Lindell,DAL,D,15,0,3,3,0,2,33,0,0,1,0,0,29,32
Nick Schmaltz,ARI,RW,6,0,1,1,-8,2,10,0,0,0,0,0,0,2
Travis Sanheim,PHI,D,15,0,3,3,7,4,21,0,0,0,0,0,10,26
Brendan Perlini,EDM,LW,11,0,0,0,-3,2,6,0,0,0,0,0,15,0
John Hayden,BUF,C,12,0,1,1,-2,9,9,0,0,0,0,0,21,7
Dillon Heatherington,OTT,D,3,0,0,0,0,0,3,0,0,0,0,0,5,1
Artturi Lehkonen,MON,LW,19,0,5,5,-1,8,26,0,0,0,0,0,22,9
Madison Bowey,VAN,D,2,0,0,0,-3,0,0,0,0,0,0,0,4,2
Michael McCarron,NSH,C,4,0,0,0,0,10,4,0,0,0,0,0,7,1
Frederik Gauthier,NJ,C,8,0,0,0,-1,0,4,0,0,0,0,0,16,3
Justin Bailey,VAN,RW,10,0,0,0,-4,6,10,0,0,0,0,0,9,3
Will Butcher,BUF,D,14,0,2,2,-7,0,14,0,0,1,0,0,7,9
Hudson Fasching,ARI,RW,2,0,0,0,0,0,1,0,0,0,0,0,3,0
Jaccob Slavin,CAR,D,15,0,8,8,9,4,31,0,0,0,0,0,11,19
Matt Grzelcyk,BOS,D,13,0,2,2,-3,4,32,0,0,0,0,0,7,21
Scott Sabourin,OTT,RW,3,0,0,0,-1,2,3,0,0,0,0,0,8,1
Brad Hunt,VAN,D,4,0,1,1,-5,0,9,0,0,0,0,0,4,0
Mattias Janmark,VGK,C,12,0,2,2,-4,2,12,0,0,0,0,0,0,1
Andrew Peeke,CLS,D,14,0,3,3,-1,7,9,0,0,0,0,0,25,24
Victor Mete,OTT,D,9,0,4,4,-5,0,7,0,0,0,0,0,2,10
Trent Frederic,BOS,C,10,0,1,1,-2,5,14,0,0,0,0,0,23,0
Tyler Benson,EDM,LW,6,0,0,0,-2,4,3,0,0,0,0,0,9,0
Dylan Gambrell,OTT,C,4,0,0,0,0,2,2,0,0,0,0,0,9,1
Cam Dineen,ARI,D,6,0,0,0,-5,0,6,0,0,0,0,0,3,9
Brett Murray,BUF,LW,1,0,0,0,-1,2,0,0,0,0,0,0,1,0
Dante Fabbro,NSH,D,16,0,4,4,5,8,22,0,0,0,0,0,6,19
Riley Tufte,DAL,LW,2,0,0,0,0,0,0,0,0,0,0,0,2,1
Logan Stanley,WPG,D,17,0,5,5,2,16,16,0,0,0,0,1,42,18
Kieffer Bellows,NYI,LW,4,0,1,1,1,0,2,0,0,0,0,0,14,1
Boris Katchouk,TB,LW,7,0,1,1,1,10,5,0,0,0,0,0,19,0
Kale Clague,LA,D,9,0,5,5,-1,2,6,0,0,3,0,0,0,7
Taylor Raddysh,TB,RW,14,0,1,1,-1,4,10,0,0,0,0,0,12,4
Cal Foote,TB,D,7,0,0,0,-2,0,4,0,0,0,0,0,7,8
Casey Mittelstadt,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Liljegren,TOR,D,10,0,1,1,0,2,13,0,0,0,0,0,13,11
Cody Glass,NSH,C,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Adam Brooks,VGK,C,4,0,1,1,-1,0,0,0,0,0,0,0,6,0
Calle Rosen,STL,D,5,0,2,2,-1,0,5,0,0,0,0,0,0,4
Axel Jonsson-Fjallby,WAS,LW,6,0,1,1,1,2,6,0,0,0,0,0,6,3
Chase Priskie,FLA,D,1,0,0,0,-1,2,1,0,0,0,0,0,0,1
Colton White,NJ,D,4,0,1,1,4,2,2,0,0,0,0,0,3,0
Matt Roy,LA,D,16,0,3,3,-2,8,38,0,0,2,0,0,21,27
Zach Aston-Reese,PIT,C,14,0,5,5,3,9,17,0,0,0,0,0,55,6
Gavin Bayreuther,CLS,D,6,0,2,2,-2,6,6,0,0,0,0,0,10,10
Matthew Highmore,VAN,C,8,0,2,2,-1,2,10,0,0,0,0,0,8,9
Lane Pederson,SJ,C,11,0,0,0,-7,6,6,0,0,0,0,0,21,6
Oskar Lindblom,PHI,LW,14,0,1,1,-2,2,19,0,0,0,0,0,16,9
Keegan Kolesar,VGK,RW,17,0,4,4,-5,16,34,0,0,0,0,0,54,12
Anton Blidh,BOS,LW,4,0,1,1,1,0,3,0,0,0,0,0,10,5
Dean Kukan,CLS,D,2,0,0,0,2,0,3,0,0,0,0,0,3,1
Erik Cernak,TB,D,12,0,3,3,1,8,29,0,0,0,0,0,36,17
Vladislav Gavrikov,CLS,D,14,0,7,7,9,10,14,0,0,0,0,0,18,22
Joonas Donskoi,SEA,RW,17,0,7,7,1,0,24,0,0,1,0,0,11,6
Rasmus Andersson,CGY,D,17,0,8,8,9,8,23,0,0,5,0,0,4,24
Jack Roslovic,CLS,RW,14,0,4,4,0,2,22,0,0,0,0,0,6,2
Mitchell Stephens,DET,C,16,0,4,4,-5,4,13,0,0,0,0,0,9,8
Jeremy Lauzon,SEA,D,16,0,3,3,-4,30,13,0,0,0,0,0,44,10
Sami Niku,MON,D,5,0,2,2,3,2,4,0,0,1,0,0,3,4
Austin Strand,LA,D,2,0,0,0,-1,0,0,0,0,0,0,0,1,1
Lucas Carlsson,FLA,D,3,0,1,1,0,2,3,0,0,0,0,0,3,2
Jonas Siegenthaler,NJ,D,15,0,2,2,1,13,13,0,0,0,0,0,18,27
Nicolas Meloche,SJ,D,6,0,1,1,-3,0,7,0,0,0,0,0,15,9
Travis Dermott,TOR,D,15,0,1,1,-2,2,12,0,0,0,0,0,17,10
Erik Gustafsson,CHI,D,15,0,4,4,-2,0,13,0,0,1,0,0,12,13
Glenn Gawdin,CGY,C,2,0,0,0,0,2,3,0,0,0,0,0,1,1
Thomas Novak,NSH,C,14,0,5,5,0,2,11,0,0,3,0,0,2,2
Matt Benning,NSH,D,13,0,2,2,-2,8,7,0,0,0,0,0,19,17
Nick Seeler,PHI,D,13,0,0,0,-1,11,7,0,0,0,0,0,19,18
Caleb Jones,CHI,D,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Philippe Myers,NSH,D,8,0,0,0,2,2,11,0,0,0,0,0,12,5
Kevin Stenlund,CLS,C,3,0,0,0,0,2,3,0,0,0,0,0,2,2
Tyler Motte,VAN,C,3,0,1,1,-2,2,5,0,0,0,0,0,7,3
Troy Stecher,DET,D,6,0,1,1,1,2,5,0,0,0,0,0,8,7
Markus Nutivaara,FLA,D,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Michael McLeod,NJ,C,15,0,2,2,-4,9,17,0,0,0,0,0,22,7
Max Jones,ANH,LW,2,0,0,0,-1,15,2,0,0,0,0,0,2,0
